source_event_id,financial_year,event_date,policy_id,product_code,product_name,region,distribution_channel,policy_status,written_premium_inr,premium_collected_inr,claim_flag,claim_amount_inr,claim_status,ceded_reinsurance_inr,commission_inr,insurance_revenue_inr
EVT00000030,2021,2021-04-27,POL00137,Health,Retail Health,North,Bancassurance,Expired,190021.77,153083.14,False,0,,35741.38,17040.17,184188.45
EVT00000031,2021,2021-01-15,POL00115,Motor,Private Motor,South,Bancassurance,Active,191242.82,189659.76,True,221897.35,Repudiated,48548.03,30536.88,172055.9
EVT00000032,2021,2021-10-23,POL00060,Property,Commercial Property,South,Direct,Active,134473.11,112476.24,False,0,,24328.63,23929.58,116634.83
EVT00000033,2021,2021-02-05,POL00098,Property,Commercial Property,North,Bancassurance,Active,204221.94,180657.38,False,0,,55667.84,28015.51,184745.95
EVT00000034,2021,2021-10-11,POL00341,Property,Commercial Property,Central,Direct,Active,34420.57,33560.46,False,0,,8607.48,3180.59,32857.23
EVT00000035,2021,2021-08-09,POL00066,Health,Retail Health,West,Bancassurance,Active,199394.78,180228.7,False,0,,42746.49,9980.26,178066.93
EVT00000036,2021,2021-05-26,POL00297,SME,SME Package,East,Bancassurance,Active,151232.97,132751.32,False,0,,51109.12,22030.86,143494.02
EVT00000037,2021,2021-02-07,POL00264,SME,SME Package,East,Agent,Expired,167241.29,153560.77,True,62347.55,Open,10680.72,29754.18,157489.63
EVT00000038,2021,2021-12-23,POL00234,Travel,Travel,Central,Broker,Expired,89403.44,75985.17,True,111593.59,Open,25348.21,7013.64,86776.45
EVT00000039,2021,2021-08-15,POL00266,Travel,Travel,North,Broker,Expired,33728.02,26420.33,False,0,,7060.61,4137.09,30274.09
EVT00000040,2021,2021-05-21,POL00314,SME,SME Package,West,Bancassurance,Expired,165654.95,143899.26,True,75979.96,Settled,46341.0,19509.01,156380.3
EVT00000041,2021,2021-10-05,POL00226,Motor,Private Motor,East,Broker,Active,75778.43,67066.79,True,33850.55,Closed,19848.32,4421.65,69044.75
EVT00000042,2021,2021-09-02,POL00239,Travel,Travel,North,Broker,Expired,90569.08,85356.73,False,0,,5059.15,14897.29,84804.68
EVT00000043,2021,2021-04-23,POL00004,Property,Commercial Property,East,Bancassurance,Expired,210127.23,179607.37,False,0,,44933.54,26985.13,185559.32
EVT00000044,2021,2021-10-01,POL00140,Travel,Travel,West,Agent,Active,149801.21,142241.58,False,0,,45262.69,25397.36,149368.03
EVT00000045,2021,2021-07-14,POL00014,Travel,Travel,Central,Agent,Active,98865.91,95574.94,True,48516.59,Settled,11221.09,9144.1,95324.97
EVT00000046,2021,2021-01-21,POL00143,Travel,Travel,East,Agent,Active,166793.14,127266.74,False,0,,19559.27,9827.52,165724.47
EVT00000047,2021,2021-05-12,POL00387,Motor,Private Motor,South,Broker,Expired,139723.16,113124.93,False,0,,11781.01,24201.23,128511.09
EVT00000048,2021,2021-07-12,POL00393,Property,Commercial Property,South,Agent,Expired,42718.35,35360.53,False,0,,14040.08,5333.54,42129.0
EVT00000049,2021,2021-06-27,POL00204,Health,Retail Health,North,Broker,Active,171765.95,165337.32,False,0,,14826.24,30557.12,166165.57
EVT00000050,2021,2021-08-24,POL00273,Travel,Travel,East,Agent,Active,80341.01,77319.7,False,0,,6560.78,14051.83,75949.39
EVT00000051,2021,2021-10-31,POL00363,Health,Retail Health,West,Broker,Expired,212680.43,173870.63,False,0,,44971.68,24001.98,194674.09
EVT00000052,2021,2021-06-16,POL00138,Property,Commercial Property,South,Agent,Active,103570.02,97109.23,False,0,,25939.79,9707.78,95713.82
EVT00000053,2021,2021-02-13,POL00094,Travel,Travel,South,Direct,Expired,80151.83,77753.69,False,0,,10650.62,4113.36,79527.4
EVT00000054,2021,2021-06-06,POL00124,Travel,Travel,West,Broker,Active,144931.41,126482.41,False,0,,11292.48,11421.69,138230.95
EVT00000055,2021,2021-04-29,POL00340,SME,SME Package,East,Bancassurance,Active,80876.57,80808.46,False,0,,12579.8,8814.49,72464.88
EVT00000056,2021,2021-05-25,POL00062,Health,Retail Health,East,Agent,Expired,209586.04,193351.69,True,279426.39,Settled,56038.17,37088.12,194641.62
EVT00000057,2021,2021-09-09,POL00052,Health,Retail Health,East,Broker,Active,72080.73,66819.17,True,8768.9,Open,15569.99,10139.18,62633.97
EVT00000058,2021,2021-10-23,POL00053,Motor,Private Motor,Central,Direct,Active,101379.39,80707.21,True,171904.83,Repudiated,8538.79,5930.15,93650.43
EVT00000059,2021,2021-09-25,POL00323,Motor,Private Motor,South,Broker,Expired,209214.64,161366.25,True,211488.47,Repudiated,48515.89,31967.22,184915.0
EVT00000060,2021,2021-04-17,POL00195,Travel,Travel,West,Direct,Expired,217886.63,180049.54,False,0,,50743.46,31857.55,216173.72
EVT00000061,2021,2021-12-26,POL00321,Health,Retail Health,East,Agent,Active,44848.47,34477.99,True,38016.41,Repudiated,6161.18,3592.0,42877.08
EVT00000062,2021,2021-05-17,POL00233,Motor,Private Motor,South,Direct,Expired,140512.3,128610.31,False,0,,24946.79,16972.92,133085.55
EVT00000063,2021,2021-07-26,POL00073,Motor,Private Motor,North,Broker,Expired,134149.34,128254.83,False,0,,24381.11,14881.29,120145.98
EVT00000064,2021,2021-12-12,POL00140,SME,SME Package,Central,Bancassurance,Active,134783.77,131057.77,False,0,,31150.43,7192.39,119194.5
EVT00000065,2021,2021-08-12,POL00295,SME,SME Package,North,Direct,Active,169779.11,134770.26,False,0,,31013.35,14628.23,169701.32
EVT00000066,2021,2021-07-25,POL00326,Travel,Travel,North,Bancassurance,Active,78661.38,72174.44,False,0,,11715.91,11026.56,70262.91
EVT00000067,2021,2021-10-05,POL00390,SME,SME Package,North,Bancassurance,Active,61508.56,47913.96,False,0,,19035.25,9671.64,52292.9
EVT00000068,2021,2021-05-28,POL00237,Travel,Travel,North,Broker,Active,139998.38,122445.84,False,0,,9167.59,11860.29,121749.87
EVT00000069,2021,2021-08-25,POL00225,Travel,Travel,North,Agent,Cancelled,137080.79,111011.36,True,137264.49,Repudiated,10687.2,24536.56,135290.44
EVT00000070,2021,2021-11-03,POL00061,Health,Retail Health,West,Direct,Active,65966.08,63240.43,False,0,,8121.7,8025.73,59866.72
EVT00000071,2021,2021-10-28,POL00261,Health,Retail Health,North,Direct,Expired,189135.42,157922.18,False,0,,24616.32,9519.84,181363.4
EVT00000072,2021,2021-12-24,POL00297,Travel,Travel,South,Bancassurance,Active,81166.28,72073.98,False,0,,15145.9,7453.59,71288.17
EVT00000073,2021,2021-11-30,POL00123,SME,SME Package,West,Broker,Expired,95084.32,78876.63,False,0,,30810.08,9466.6,94919.07
EVT00000074,2021,2021-03-15,POL00078,Travel,Travel,North,Broker,Active,133118.25,128781.93,False,0,,24239.75,15757.69,122274.33
EVT00000075,2021,2021-10-01,POL00210,Health,Retail Health,North,Bancassurance,Expired,64184.83,58139.57,False,0,,4755.75,5950.8,61049.63
EVT00000076,2021,2021-11-21,POL00195,Property,Commercial Property,West,Agent,Active,57771.29,53213.13,False,0,,6831.22,3567.34,57583.57
EVT00000077,2021,2021-09-29,POL00361,Motor,Private Motor,West,Broker,Active,199525.9,151938.52,False,0,,27536.64,19699.06,173953.76
EVT00000078,2021,2021-11-23,POL00211,SME,SME Package,South,Broker,Active,137212.26,116031.64,False,0,,27346.43,17262.73,121409.29
EVT00000079,2021,2021-06-03,POL00131,Travel,Travel,East,Agent,Expired,106633.69,87643.07,False,0,,7694.53,18434.9,106436.18
EVT00000080,2021,2021-12-25,POL00328,Travel,Travel,East,Bancassurance,Expired,50234.0,42506.67,False,0,,6086.44,6246.6,47030.17
EVT00000081,2021,2021-05-27,POL00152,Motor,Private Motor,West,Direct,Active,191394.29,180786.82,False,0,,61855.78,28110.53,186595.24
EVT00000082,2021,2021-02-19,POL00398,Health,Retail Health,Central,Direct,Active,48307.98,39257.8,False,0,,13537.89,6691.19,42052.91
EVT00000083,2021,2021-10-04,POL00322,Motor,Private Motor,East,Bancassurance,Active,85350.58,66816.95,False,0,,12633.23,8877.77,75118.69
EVT00000084,2021,2021-02-28,POL00188,SME,SME Package,Central,Direct,Expired,62477.66,59739.42,False,0,,18240.14,9187.51,56280.33
EVT00000085,2021,2021-01-08,POL00240,Motor,Private Motor,South,Broker,Expired,161533.94,160723.94,False,0,,47067.16,15757.76,156462.15
EVT00000086,2021,2021-08-30,POL00136,SME,SME Package,North,Bancassurance,Active,166790.46,136024.35,False,0,,40290.7,16394.1,158655.34
EVT00000087,2021,2021-03-13,POL00013,SME,SME Package,Central,Direct,Expired,54929.85,42065.51,False,0,,17732.25,4904.4,50054.52
EVT00000088,2021,2021-10-04,POL00024,Motor,Private Motor,East,Bancassurance,Active,57777.61,51097.75,False,0,,9319.73,10019.76,55147.15
EVT00000089,2021,2021-08-16,POL00215,SME,SME Package,South,Bancassurance,Active,184742.93,166991.55,False,0,,24741.15,25815.33,163052.35
EVT00000090,2021,2021-08-21,POL00121,Property,Commercial Property,North,Direct,Active,215302.62,180782.82,False,0,,23025.02,14184.3,210394.79
EVT00000091,2021,2021-10-28,POL00047,Health,Retail Health,Central,Agent,Active,78703.94,78483.98,False,0,,8780.34,12425.49,73441.1
EVT00000092,2021,2021-02-26,POL00111,Health,Retail Health,East,Broker,Expired,134348.11,110073.92,False,0,,46519.13,16152.41,130287.72
EVT00000093,2021,2021-09-01,POL00339,Motor,Private Motor,South,Agent,Active,175147.49,157144.65,True,85865.11,Closed,47730.39,20735.91,168465.58
EVT00000094,2021,2021-11-26,POL00230,Property,Commercial Property,Central,Agent,Active,54968.55,49679.3,False,0,,17734.26,7456.89,49210.29
EVT00000095,2021,2021-03-06,POL00016,Motor,Private Motor,West,Bancassurance,Active,30887.91,28667.08,False,0,,9877.34,2837.81,26941.98
EVT00000096,2021,2021-12-02,POL00141,SME,SME Package,Central,Direct,Active,134647.07,110912.08,False,0,,24109.88,20614.8,116760.84
EVT00000097,2021,2021-12-07,POL00334,SME,SME Package,South,Bancassurance,Active,56440.64,47112.86,False,0,,9865.65,3519.7,51587.57
EVT00000098,2021,2021-06-18,POL00131,Property,Commercial Property,South,Bancassurance,Active,184335.64,142548.14,True,245919.19,Closed,39984.47,23270.62,172213.35
EVT00000099,2021,2021-02-23,POL00344,Motor,Private Motor,West,Direct,Expired,207519.53,177581.56,False,0,,13578.8,18135.51,186117.49
EVT00000100,2021,2021-08-08,POL00296,SME,SME Package,South,Broker,Active,55539.91,43157.54,False,0,,8901.29,8283.15,51991.74
EVT00000101,2021,2021-03-15,POL00288,SME,SME Package,Central,Agent,Active,147460.22,136160.02,True,74713.91,Settled,48140.05,14102.07,129353.7
EVT00000102,2021,2021-06-09,POL00290,Travel,Travel,North,Broker,Expired,214023.79,165427.42,False,0,,34855.56,23323.02,186973.62
EVT00000103,2021,2021-05-20,POL00370,Property,Commercial Property,Central,Agent,Expired,40982.94,38466.96,True,8773.47,Repudiated,10187.61,4636.65,37552.94
EVT00000104,2021,2021-11-03,POL00111,SME,SME Package,North,Direct,Active,68048.25,62578.64,False,0,,17021.57,3804.19,61875.56
EVT00000105,2021,2021-03-08,POL00029,Motor,Private Motor,South,Direct,Expired,170678.1,160614.96,False,0,,14677.51,19569.97,156101.89
EVT00000106,2021,2021-08-02,POL00195,SME,SME Package,South,Direct,Active,190694.04,145037.23,True,316424.85,Settled,42472.85,23749.41,182384.52
EVT00000107,2021,2021-02-24,POL00149,Motor,Private Motor,West,Agent,Cancelled,44437.11,43855.14,False,0,,11415.14,4312.21,40682.47
EVT00000108,2021,2021-02-28,POL00125,Travel,Travel,Central,Bancassurance,Active,91902.54,76055.66,False,0,,13778.08,6603.86,85154.37
EVT00000109,2021,2021-12-02,POL00272,SME,SME Package,South,Direct,Active,211143.35,192427.76,True,41763.27,Settled,23052.96,27092.2,203549.01
EVT00000110,2021,2021-11-18,POL00039,Health,Retail Health,West,Bancassurance,Expired,169093.96,145797.26,False,0,,37090.34,22419.96,159570.3
EVT00000111,2021,2021-01-20,POL00162,Health,Retail Health,West,Agent,Active,141853.65,134630.81,False,0,,22069.97,8460.83,130400.58
EVT00000112,2021,2021-01-22,POL00030,Property,Commercial Property,East,Agent,Active,215202.13,166259.6,False,0,,35582.54,26995.56,213724.71
EVT00000113,2021,2021-02-13,POL00231,SME,SME Package,South,Direct,Active,114289.87,113081.89,False,0,,33520.08,18155.98,113987.9
EVT00000114,2021,2021-06-23,POL00259,Health,Retail Health,North,Broker,Expired,218089.04,192140.18,False,0,,34713.1,36929.41,198049.38
EVT00000115,2021,2021-03-18,POL00348,SME,SME Package,North,Direct,Active,28035.26,25781.08,False,0,,7488.78,3794.67,27641.4
EVT00000116,2021,2021-10-14,POL00171,Motor,Private Motor,Central,Broker,Expired,73769.13,67425.99,False,0,,6542.25,10486.17,63641.21
EVT00000117,2021,2021-09-06,POL00193,Property,Commercial Property,South,Agent,Active,97762.15,82164.89,False,0,,10174.97,7610.3,96994.74
EVT00000118,2021,2021-06-22,POL00099,Health,Retail Health,South,Broker,Active,187018.82,144992.92,False,0,,56205.88,30835.42,160024.92
EVT00000119,2021,2021-07-06,POL00393,SME,SME Package,South,Bancassurance,Active,46339.35,42781.02,False,0,,14865.51,6661.46,39692.15
EVT00000120,2021,2021-10-20,POL00347,Health,Retail Health,West,Direct,Expired,174165.68,140813.08,True,302816.04,Repudiated,55940.68,13101.11,165761.49
EVT00000121,2021,2021-02-22,POL00226,Travel,Travel,East,Bancassurance,Active,96756.1,76487.1,True,106494.79,Settled,6352.42,10882.82,87630.24
EVT00000122,2021,2021-08-19,POL00365,SME,SME Package,North,Direct,Active,41986.21,36205.96,False,0,,12567.06,2599.9,41422.58
EVT00000123,2021,2021-03-16,POL00179,Motor,Private Motor,West,Agent,Active,87279.84,73886.01,True,37602.26,Settled,28736.69,13885.6,82697.13
EVT00000124,2021,2021-03-18,POL00071,Motor,Private Motor,East,Bancassurance,Active,37424.05,34669.04,False,0,,1930.16,2256.65,33247.1
EVT00000125,2021,2021-10-02,POL00281,SME,SME Package,Central,Bancassurance,Active,69077.53,57008.84,True,53941.44,Repudiated,4755.45,10967.4,63894.95
EVT00000126,2021,2021-09-26,POL00009,SME,SME Package,Central,Broker,Expired,69749.66,52339.52,False,0,,15428.56,5185.94,66278.38
EVT00000127,2021,2021-06-26,POL00185,Motor,Private Motor,Central,Agent,Active,107668.64,97861.93,False,0,,13576.49,5610.77,104253.18
EVT00000128,2021,2021-09-03,POL00124,Motor,Private Motor,Central,Direct,Active,82687.4,69013.95,False,0,,24733.05,11494.27,82449.5
EVT00000129,2021,2021-10-06,POL00324,Health,Retail Health,South,Agent,Expired,208044.29,157956.78,True,296881.03,Open,30099.59,18788.45,189264.88
EVT00000130,2021,2021-07-24,POL00243,Property,Commercial Property,North,Broker,Active,190773.37,145359.96,False,0,,25175.4,29362.79,174661.17
EVT00000131,2021,2021-02-10,POL00381,Travel,Travel,West,Direct,Cancelled,113195.08,98975.61,False,0,,23293.6,17448.94,108561.12
EVT00000132,2021,2021-06-29,POL00221,SME,SME Package,South,Direct,Active,24974.61,22857.51,False,0,,5763.8,2632.2,23812.41
EVT00000133,2021,2021-01-16,POL00229,Motor,Private Motor,East,Bancassurance,Active,215765.78,212955.67,True,248683.56,Settled,44000.21,31822.59,188578.86
EVT00000134,2021,2021-08-19,POL00074,SME,SME Package,West,Agent,Active,58031.02,52883.13,False,0,,19431.11,3145.87,50661.99
EVT00000135,2021,2021-09-13,POL00190,Property,Commercial Property,West,Agent,Active,120245.49,102149.57,False,0,,15016.68,7785.69,115477.9
EVT00000136,2021,2021-03-04,POL00266,Travel,Travel,Central,Agent,Active,63181.43,54435.12,False,0,,8572.02,10686.65,58359.43
EVT00000137,2021,2021-02-03,POL00070,Motor,Private Motor,West,Broker,Expired,102363.57,79019.32,False,0,,31083.35,9371.02,92343.59
EVT00000138,2021,2021-04-13,POL00282,SME,SME Package,East,Direct,Expired,158903.53,156016.43,False,0,,45781.52,18454.78,137960.74
EVT00000139,2021,2021-07-23,POL00072,Health,Retail Health,West,Agent,Active,129322.81,112103.67,False,0,,11500.85,21332.06,111199.8
EVT00000140,2021,2021-06-26,POL00368,Travel,Travel,Central,Bancassurance,Expired,182547.95,140276.72,False,0,,44304.68,19805.85,173788.63
EVT00000141,2021,2021-03-24,POL00066,SME,SME Package,Central,Broker,Expired,35354.99,30960.93,False,0,,10585.89,4149.02,31664.59
EVT00000142,2021,2021-09-15,POL00166,Health,Retail Health,East,Direct,Expired,61128.33,55551.24,False,0,,5351.85,5462.87,56850.67
EVT00000143,2021,2021-02-11,POL00329,Health,Retail Health,Central,Broker,Active,140389.59,136950.08,False,0,,45932.51,7771.3,137521.03
EVT00000144,2021,2021-09-05,POL00024,SME,SME Package,East,Broker,Expired,96316.4,87623.63,False,0,,22937.67,8442.84,95690.11
EVT00000145,2021,2021-06-13,POL00126,Travel,Travel,East,Bancassurance,Active,20701.56,17801.3,False,0,,2302.16,2667.72,18566.97
EVT00000146,2021,2021-07-16,POL00376,Property,Commercial Property,West,Broker,Expired,117175.79,90992.39,True,28474.32,Repudiated,14573.82,7333.51,104700.29
EVT00000147,2021,2021-07-21,POL00316,Travel,Travel,South,Broker,Expired,205955.33,191596.56,True,61593.33,Repudiated,41114.43,18558.69,175778.02
EVT00000148,2021,2021-01-05,POL00259,Travel,Travel,South,Broker,Active,18315.52,15024.94,False,0,,5546.94,2517.06,16353.24
EVT00000149,2021,2021-02-07,POL00056,Travel,Travel,South,Direct,Expired,169937.63,142999.85,False,0,,37570.57,12797.19,158548.99
EVT00000150,2021,2021-03-15,POL00198,SME,SME Package,West,Direct,Expired,140127.21,126501.35,True,27095.83,Settled,40422.38,13183.32,138843.96
EVT00000151,2021,2021-09-21,POL00102,SME,SME Package,Central,Bancassurance,Active,17604.31,13806.34,False,0,,3382.2,1926.06,16564.58
EVT00000152,2021,2021-12-29,POL00072,Property,Commercial Property,Central,Direct,Active,218010.54,203802.76,False,0,,32900.41,34375.38,202717.31
EVT00000153,2021,2021-01-14,POL00289,Property,Commercial Property,West,Agent,Active,150846.96,150088.88,False,0,,43598.76,21766.03,143788.31
EVT00000154,2021,2021-12-15,POL00306,Travel,Travel,East,Broker,Expired,131706.93,104394.6,False,0,,31072.4,20987.73,114870.35
EVT00000155,2021,2021-08-30,POL00125,Motor,Private Motor,Central,Agent,Active,101500.18,86751.7,False,0,,11283.52,11696.53,95584.92
EVT00000156,2021,2021-10-07,POL00377,Motor,Private Motor,South,Broker,Active,219602.05,190964.35,False,0,,74007.13,24102.7,204223.11
EVT00000157,2021,2021-09-08,POL00182,Property,Commercial Property,Central,Bancassurance,Active,60262.06,53604.41,True,105614.55,Settled,16954.87,8535.34,57462.04
EVT00000158,2021,2021-03-16,POL00163,Travel,Travel,East,Direct,Active,129577.08,114779.08,False,0,,21815.56,12292.65,125166.23
EVT00000159,2021,2021-12-23,POL00149,Motor,Private Motor,East,Agent,Active,101783.74,82863.26,False,0,,11259.36,12215.59,100761.18
EVT00000160,2021,2021-02-21,POL00140,Health,Retail Health,North,Broker,Active,150004.8,132418.29,False,0,,9862.42,15559.87,143645.15
EVT00000161,2021,2021-11-27,POL00349,Health,Retail Health,North,Broker,Active,206226.8,199957.49,False,0,,22651.29,36153.38,185227.79
EVT00000162,2021,2021-01-19,POL00031,Motor,Private Motor,Central,Broker,Active,161300.95,158747.13,False,0,,16536.48,26564.95,141359.04
EVT00000163,2021,2021-03-10,POL00204,Travel,Travel,South,Direct,Expired,9964.64,8888.36,True,17682.34,Settled,1856.46,1328.99,9253.64
EVT00000164,2021,2021-06-01,POL00259,Travel,Travel,East,Broker,Expired,78105.03,72854.79,False,0,,20743.09,4048.26,70338.8
EVT00000165,2021,2021-05-08,POL00291,Health,Retail Health,South,Bancassurance,Expired,117239.5,90471.9,False,0,,12361.07,8005.06,105344.41
EVT00000166,2021,2021-05-01,POL00004,Property,Commercial Property,West,Broker,Active,64602.8,53775.78,False,0,,14332.98,5426.76,58396.59
EVT00000167,2021,2021-06-01,POL00032,Motor,Private Motor,West,Direct,Active,153447.61,150497.81,False,0,,43111.46,21442.42,145131.78
EVT00000168,2021,2021-10-03,POL00189,SME,SME Package,South,Broker,Cancelled,109374.56,94471.69,False,0,,17728.24,15449.41,107943.89
EVT00000169,2021,2021-04-14,POL00341,Health,Retail Health,South,Agent,Active,119972.7,100830.6,False,0,,10037.23,18924.57,118225.08
EVT00000170,2021,2021-03-09,POL00294,SME,SME Package,South,Broker,Active,118312.41,92172.47,True,125439.05,Open,37820.55,12767.42,101552.91
EVT00000171,2021,2021-06-26,POL00263,Travel,Travel,West,Agent,Active,150626.75,124574.71,True,71227.14,Open,41232.77,18855.53,129056.02
EVT00000172,2021,2021-08-04,POL00359,Motor,Private Motor,Central,Agent,Expired,22632.06,22257.36,True,18429.7,Closed,6331.28,4010.02,21429.89
EVT00000173,2021,2021-10-03,POL00192,Travel,Travel,West,Bancassurance,Active,152738.84,139824.49,False,0,,37582.95,14542.28,133916.99
EVT00000174,2021,2021-04-28,POL00202,SME,SME Package,South,Broker,Expired,168310.04,167404.98,False,0,,44724.72,17695.55,152638.94
EVT00000175,2021,2021-05-04,POL00127,Travel,Travel,East,Broker,Active,206731.0,192519.48,True,301791.19,Repudiated,48473.66,35497.97,203290.21
EVT00000176,2021,2021-01-29,POL00106,Motor,Private Motor,North,Agent,Active,150469.01,145661.99,True,14848.55,Repudiated,18101.69,11773.45,147393.35
EVT00000177,2021,2021-03-15,POL00072,SME,SME Package,East,Broker,Expired,163081.71,135313.12,False,0,,41057.38,14952.39,146001.29
EVT00000178,2021,2021-09-11,POL00339,SME,SME Package,South,Bancassurance,Active,20923.02,20653.74,False,0,,6768.04,2748.85,19125.32
EVT00000179,2021,2021-08-26,POL00025,Property,Commercial Property,West,Direct,Active,94550.95,78001.9,True,92937.15,Closed,28819.35,8424.09,90403.62
EVT00000180,2021,2021-04-08,POL00030,SME,SME Package,West,Bancassurance,Active,36427.66,29532.44,True,43464.25,Repudiated,11079.11,2259.26,34922.75
EVT00000181,2021,2021-06-20,POL00027,Property,Commercial Property,West,Agent,Expired,47890.62,45037.49,False,0,,10423.64,5379.13,46952.97
EVT00000182,2021,2021-05-03,POL00156,Motor,Private Motor,South,Broker,Cancelled,32871.03,32867.51,False,0,,4035.84,4226.3,28948.76
EVT00000183,2021,2021-08-29,POL00283,Property,Commercial Property,East,Bancassurance,Active,145528.92,120367.78,False,0,,45818.85,16092.66,141224.54
EVT00000184,2021,2021-08-02,POL00390,Property,Commercial Property,South,Direct,Active,17691.67,17090.53,False,0,,970.67,2157.15,16587.79
EVT00000185,2021,2021-09-08,POL00152,Health,Retail Health,South,Direct,Active,128795.38,104508.76,False,0,,42893.93,12091.74,124223.67
EVT00000186,2021,2021-01-31,POL00371,Travel,Travel,West,Broker,Expired,82661.35,64888.3,False,0,,8697.16,13690.16,82541.37
EVT00000187,2021,2021-11-23,POL00269,Motor,Private Motor,North,Agent,Expired,95427.15,91670.77,True,122348.21,Open,11032.9,10428.4,81978.36
EVT00000188,2021,2021-04-02,POL00342,SME,SME Package,West,Bancassurance,Active,120829.05,103047.2,True,157904.77,Settled,6662.85,18814.34,114921.11
EVT00000189,2021,2021-08-24,POL00055,Motor,Private Motor,Central,Broker,Active,139393.54,113341.52,False,0,,40212.37,8401.6,138542.5
